"","country","code","Gender","Age","Household.Income","mean_rating"
"204","Bosnia and Herzegovina","BIH","Female","18-29",NA,3
"205","Bosnia and Herzegovina","BIH","Female","30-44","$0 - $24,999",4.25
"206","Bosnia and Herzegovina","BIH","Female","30-44","$100,000 - $149,999",2.5
"207","Bosnia and Herzegovina","BIH","Female","30-44","$150,000+",2.33333333333333
"208","Bosnia and Herzegovina","BIH","Female","30-44","$25,000 - $49,999",3.66666666666667
"209","Bosnia and Herzegovina","BIH","Female","30-44","$50,000 - $99,999",3.33333333333333
"210","Bosnia and Herzegovina","BIH","Female","30-44",NA,3.75
"211","Bosnia and Herzegovina","BIH","Female","45-60","$0 - $24,999",NA
"212","Bosnia and Herzegovina","BIH","Female","45-60","$100,000 - $149,999",2.33333333333333
"213","Bosnia and Herzegovina","BIH","Female","45-60","$150,000+",2.5
"214","Bosnia and Herzegovina","BIH","Female","45-60","$25,000 - $49,999",NA
"215","Bosnia and Herzegovina","BIH","Female","45-60","$50,000 - $99,999",3
"216","Bosnia and Herzegovina","BIH","Female","45-60",NA,2.14285714285714
"217","Bosnia and Herzegovina","BIH","Male","> 60","$0 - $24,999",3
"218","Bosnia and Herzegovina","BIH","Male","> 60","$100,000 - $149,999",3.16666666666667
"219","Bosnia and Herzegovina","BIH","Male","> 60","$150,000+",3.33333333333333
"220","Bosnia and Herzegovina","BIH","Male","> 60","$25,000 - $49,999",2.66666666666667
"221","Bosnia and Herzegovina","BIH","Male","> 60","$50,000 - $99,999",2.42857142857143
"222","Bosnia and Herzegovina","BIH","Male","> 60",NA,2.75
"223","Bosnia and Herzegovina","BIH","Male","18-29","$0 - $24,999",2.8
"224","Bosnia and Herzegovina","BIH","Male","18-29","$100,000 - $149,999",1.66666666666667
"225","Bosnia and Herzegovina","BIH","Male","18-29","$150,000+",3.5
"226","Bosnia and Herzegovina","BIH","Male","18-29","$25,000 - $49,999",2.75
"227","Bosnia and Herzegovina","BIH","Male","18-29","$50,000 - $99,999",2
"228","Bosnia and Herzegovina","BIH","Male","18-29",NA,3.5
"229","Bosnia and Herzegovina","BIH","Male","30-44","$0 - $24,999",NA
"230","Bosnia and Herzegovina","BIH","Male","30-44","$100,000 - $149,999",2
"231","Bosnia and Herzegovina","BIH","Male","30-44","$150,000+",2.33333333333333
"232","Bosnia and Herzegovina","BIH","Male","30-44","$25,000 - $49,999",3
"233","Bosnia and Herzegovina","BIH","Male","30-44","$50,000 - $99,999",2.88888888888889
"234","Bosnia and Herzegovina","BIH","Male","30-44",NA,2.66666666666667
"235","Bosnia and Herzegovina","BIH","Male","45-60","$0 - $24,999",3
"236","Bosnia and Herzegovina","BIH","Male","45-60","$100,000 - $149,999",3.25
"237","Bosnia and Herzegovina","BIH","Male","45-60","$150,000+",2.25
"238","Bosnia and Herzegovina","BIH","Male","45-60","$25,000 - $49,999",2.83333333333333
"239","Bosnia and Herzegovina","BIH","Male","45-60","$50,000 - $99,999",3.2
"240","Bosnia and Herzegovina","BIH","Male","45-60",NA,3
"241","Brazil","BRA","Female","> 60","$0 - $24,999",3
"242","Brazil","BRA","Female","> 60","$100,000 - $149,999",3.42857142857143
"243","Brazil","BRA","Female","> 60","$150,000+",3.75
"244","Brazil","BRA","Female","> 60","$25,000 - $49,999",3.38888888888889
"245","Brazil","BRA","Female","> 60","$50,000 - $99,999",3.5
"246","Brazil","BRA","Female","> 60",NA,3.5
"247","Brazil","BRA","Female","18-29","$0 - $24,999",3.66666666666667
"248","Brazil","BRA","Female","18-29","$100,000 - $149,999",3.6
"249","Brazil","BRA","Female","18-29","$150,000+",4.5
"250","Brazil","BRA","Female","18-29","$25,000 - $49,999",3.69230769230769
"251","Brazil","BRA","Female","18-29","$50,000 - $99,999",3.42857142857143
"252","Brazil","BRA","Female","18-29",NA,4
"253","Brazil","BRA","Female","30-44","$0 - $24,999",4.28571428571429
"254","Brazil","BRA","Female","30-44","$100,000 - $149,999",3.07692307692308
"255","Brazil","BRA","Female","30-44","$150,000+",3.83333333333333
"256","Brazil","BRA","Female","30-44","$25,000 - $49,999",3.9
"257","Brazil","BRA","Female","30-44","$50,000 - $99,999",3.42105263157895
